"date","week","month","year","market_name","geocoded_column","market_type","commodity","bid","contract_month","futures_price","basis"
"12/26/2025","51","12","2025","Atlantic Coast","POINT (-73.79947778 39.411999172)","30-Day to Arrive","Corn","4.48","Mar","4.498","-0.018"
"12/26/2025","51","12","2025","Atlantic Coast","POINT (-73.79947778 39.411999172)","30-Day to Arrive","Soft Red Winter Wheat","4.99","Mar","5.188","-0.198"
"12/26/2025","51","12","2025","Atlantic Coast","POINT (-73.79947778 39.411999172)","30-Day to Arrive","Soybeans","10.32","Mar","10.724","-0.404"
"12/26/2025","51","12","2025","Great Lakes - Toledo","POINT (-83.22451955 41.630986264)","30-Day to Arrive","Corn","4.24","Mar","4.498","-0.258"
"12/26/2025","51","12","2025","Great Lakes - Toledo","POINT (-83.22451955 41.630986264)","30-Day to Arrive","Soybeans","10.12","Mar","10.724","-0.604"
"12/26/2025","51","12","2025","Gulf - Louisiana","POINT (-89.06658215 30.155915499)","30-Day to Arrive","Corn","5.22","Mar","4.498","0.722"
"12/26/2025","51","12","2025","Gulf - Louisiana","POINT (-89.06658215 30.155915499)","30-Day to Arrive","Hard Red Spring Wheat","8.12","Mar","5.793","2.327"
"12/26/2025","51","12","2025","Gulf - Louisiana","POINT (-89.06658215 30.155915499)","30-Day to Arrive","Soft Red Winter Wheat","6.2","Mar","5.188","1.012"
"12/26/2025","51","12","2025","Gulf - Louisiana","POINT (-89.06658215 30.155915499)","30-Day to Arrive","Soybeans","11.31","Mar","10.724","0.586"
"12/26/2025","51","12","2025","Gulf - Texas","POINT (-94.79742048 28.936548032)","30-Day to Arrive","Hard Red Winter Wheat","6.5","Mar","5.334","1.166"
"12/26/2025","51","12","2025","Illinois","POINT (-89.33530089 40.375496169)","Elevator Bid","Corn","4.25","Mar","4.498","-0.248"
"12/26/2025","51","12","2025","Illinois","POINT (-89.33530089 40.375496169)","Elevator Bid","Soft Red Winter Wheat","4.72","Mar","5.188","-0.468"
"12/26/2025","51","12","2025","Illinois","POINT (-89.33530089 40.375496169)","Elevator Bid","Soybeans","10.33","Mar","10.724","-0.394"
"12/26/2025","51","12","2025","Indiana","POINT (-85.98881864 40.332056338)","Elevator Bid","Corn","4.45","Mar","4.498","-0.048"
"12/26/2025","51","12","2025","Indiana","POINT (-85.98881864 40.332056338)","Elevator Bid","Soybeans","10.44","Mar","10.724","-0.284"
"12/26/2025","51","12","2025","Iowa","POINT (-93.11318917 42.291882538)","Elevator Bid","Corn","4.13","Mar","4.498","-0.368"
"12/26/2025","51","12","2025","Iowa","POINT (-93.11318917 42.291882538)","Elevator Bid","Soybeans","9.9","Mar","10.724","-0.824"
"12/26/2025","51","12","2025","Kansas","POINT (-97.20768667 38.597245575)","Elevator Bid","Corn","3.88","Mar","4.498","-0.618"
"12/26/2025","51","12","2025","Kansas","POINT (-97.20768667 38.597245575)","Elevator Bid","Hard Red Winter Wheat","4.38","Mar","5.334","-0.954"
"12/26/2025","51","12","2025","Kansas","POINT (-97.20768667 38.597245575)","Elevator Bid","Soybeans","9.37","Mar","10.724","-1.354"
"12/26/2025","51","12","2025","Minnesota","POINT (-94.26975669 44.505294128)","Elevator Bid","Corn","3.75","Mar","4.498","-0.748"
"12/26/2025","51","12","2025","Minnesota","POINT (-94.26975669 44.505294128)","Elevator Bid","Soybeans","9.49","Mar","10.724","-1.234"
"12/26/2025","51","12","2025","Montana","POINT (-109.3523065 47.84556876)","Elevator Bid","Hard Red Spring Wheat","5.27","Mar","5.793","-0.523"
